,id,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,MGLT,starship_class,pilots,films
3,4,Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000.0,1600.0,975.0,47060.0,0.0,36000000.0,2 years,2.0,60.0,Capital ship,,"A New Hope, The Empire Strikes Back, Return of the Jedi"
47,48,Tantive IV,CR90 corvette,Corellian Engineering Corporation,3500000.0,150.0,950.0,165.0,30.0,3000000.0,1 year,2.0,60.0,Corvette,Leia Organa,"A New Hope, Revenge of the Sith"
20,21,Tantive IV,CR90 corvette,Corellian Engineering Corporation,3500000.0,150.0,950.0,165.0,30.0,3000000.0,1 year,2.0,60.0,Corvette,Leia Organa,"A New Hope, Revenge of the Sith"
57,58,Invisible Hand,Providence-class Dreadnought,Free Dac Volunteers Engineering Corps,,1088.0,950.0,600.0,0.0,15000000.0,6 years,1.5,60.0,Dreadnought,General Grievous,Revenge of the Sith
55,56,Invisible Hand,Providence-class Dreadnought,Free Dac Volunteers Engineering Corps,,1088.0,950.0,600.0,0.0,15000000.0,6 years,1.5,60.0,Dreadnought,General Grievous,Revenge of the Sith
53,54,Droid Gunship,Heavy Missile Platform,Baktoid Fleet Ordnance,,12.0,950.0,,,,,1.0,100.0,Gunship,,The Clone Wars
46,47,Luthen's Ship,Fondor Haulcraft,Fondor Shipyards,,34.8,1000.0,1.0,6.0,100000.0,1 month,1.0,80.0,Haulcraft,Luthen Rael,Andor
56,57,Malevolence,Subjugator-class heavy cruiser,Free Dac Volunteers Engineering Corps,,4845.0,975.0,216.0,0.0,14000000.0,6 years,1.5,60.0,Heavy cruiser,General Grievous,The Clone Wars
54,55,Malevolence,Subjugator-class heavy cruiser,Free Dac Volunteers Engineering Corps,,4845.0,975.0,216.0,0.0,14000000.0,6 years,1.5,60.0,Heavy cruiser,General Grievous,The Clone Wars
5,6,A-wing,RZ-1 A-wing interceptor,Alliance Underground Engineering,175000.0,9.6,1300.0,1.0,0.0,40.0,1 week,1.0,120.0,Interceptor,,"Return of the Jedi, The Last Jedi"
18,19,Delta-7 Aethersprite,Delta-7 Aethersprite-class light interceptor,Kuat Systems Engineering,,8.0,1150.0,1.0,0.0,60.0,2 days,1.0,90.0,Interceptor,Obi-Wan Kenobi,Attack of the Clones
15,16,Jedi Interceptor,Eta-2 Actis-class interceptor,Kuat Systems Engineering,,5.47,1500.0,1.0,0.0,60.0,2 days,1.0,85.0,Interceptor,"Anakin Skywalker, Obi-Wan Kenobi",Revenge of the Sith
12,13,Eta-2 Actis,Eta-2 Actis-class light interceptor,Kuat Systems Engineering,,5.47,1500.0,1.0,0.0,60.0,2 days,1.0,85.0,Interceptor,"Anakin Skywalker, Obi-Wan Kenobi",Revenge of the Sith
49,50,Jedi Starfighter,Delta-7 Aethersprite-class light interceptor,Kuat Systems Engineering,,8.0,1150.0,1.0,0.0,60.0,2 days,1.0,90.0,Interceptor,Obi-Wan Kenobi,Attack of the Clones
32,33,X-34 Landspeeder,X-34,SoroSuub Corporation,,3.4,250.0,1.0,1.0,5.0,2 days,,,Landspeeder,Luke Skywalker,A New Hope
36,37,Outrider,YT-2400 light freighter,Corellian Engineering Corporation,,21.5,950.0,2.0,6.0,70000.0,2 months,0.75,70.0,Light freighter,Dash Rendar,Shadows of the Empire
34,35,The Ghost,VCX-100 light freighter,Corellian Engineering Corporation,,43.9,1025.0,4.0,6.0,70000.0,2 months,1.0,70.0,Light freighter,Hera Syndulla,Star Wars Rebels
48,49,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000.0,34.75,1050.0,4.0,6.0,100000.0,2 months,0.5,75.0,Light freighter,"Han Solo, Chewbacca","A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens, The Last Jedi, The Rise of Skywalker"
0,1,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000.0,34.75,1050.0,4.0,6.0,100000.0,2 months,0.5,75.0,Light freighter,"Han Solo, Chewbacca","A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens, The Last Jedi, The Rise of Skywalker"
28,29,Hound's Tooth,YT-2000 light freighter,Corellian Engineering Corporation,,20.0,850.0,6.0,10.0,500000.0,2 months,1.0,75.0,Light freighter,Bossk,The Clone Wars
9,10,Rebel transport,GR-75 medium transport,"Gallofree Yards, Inc.",3000000.0,90.0,650.0,6.0,90.0,19000000.0,6 months,4.0,20.0,Medium transport,,"The Empire Strikes Back, Return of the Jedi"
4,5,Slave 1,Firespray-31-class patrol and attack craft,Kuat Systems Engineering,,21.5,1000.0,1.0,6.0,80000.0,1 month,3.0,70.0,Patrol craft,Boba Fett,"The Empire Strikes Back, Attack of the Clones, The Mandalorian"
21,22,Slave II,Firespray-31-class patrol and attack craft,Kuat Systems Engineering,,21.5,1000.0,1.0,6.0,80000.0,1 month,3.0,70.0,Patrol craft,Boba Fett,"The Empire Strikes Back, Attack of the Clones, The Mandalorian"
19,20,Imperial Shuttle,Lambda-class T-4a shuttle,Sienar Fleet Systems,,20.0,850.0,6.0,20.0,80000.0,1 month,1.0,50.0,Shuttle,Emperor Palpatine,Return of the Jedi
26,27,Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,,15.2,,3.0,11.0,180000.0,1 month,1.5,60.0,Sloop,Count Dooku,Attack of the Clones
25,26,Speeder Bike,74-Z speeder bike,Aratech Repulsor Company,,3.0,360.0,1.0,1.0,4.0,2 days,,,Speeder,,Return of the Jedi
24,25,Sith Speeder,FC-20 speeder bike,Razalon,,2.0,180.0,1.0,0.0,10.0,1 day,,,Speeder,Darth Maul,The Phantom Menace
8,9,Executor,Executor-class Star Dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000.0,19000.0,975.0,279144.0,38000.0,250000000.0,6 years,4.0,40.0,Star Dreadnought,Darth Vader,"The Empire Strikes Back, Return of the Jedi"
50,51,Vulture Droid,Variable Geometry Self-Propelled Battle Droid,Haor Chall Engineering,,3.5,1200.0,,,,,1.0,100.0,Starfighter,,The Phantom Menace
51,52,Tri-Fighter,Droid Tri-Fighter,"Colla Designs, Phlac-Arphocc Automata Industries",,5.4,1180.0,,,,,1.0,100.0,Starfighter,,Revenge of the Sith
30,31,Tie Interceptor,TIE/in interceptor,Sienar Fleet Systems,,9.6,1250.0,1.0,0.0,75.0,2 days,1.0,110.0,Starfighter,,Return of the Jedi
11,12,ARC-170,Aggressive ReConnaissance-170 starfighter,"Incom Corporation, Subpro Corporation",,14.5,1000.0,3.0,0.0,110.0,5 days,1.0,100.0,Starfighter,,Revenge of the Sith
2,3,TIE Fighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems,75000.0,8.99,1200.0,1.0,0.0,65.0,2 days,1.0,100.0,Starfighter,,"A New Hope, The Empire Strikes Back, Return of the Jedi"
1,2,X-wing,T-65 X-wing starfighter,Incom Corporation,149999.0,12.5,1050.0,1.0,0.0,110.0,1 week,1.0,100.0,Starfighter,Luke Skywalker,"A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens, The Last Jedi, The Rise of Skywalker"
52,53,Hyena Bomber,Baktoid Armor Workshop,"Colla Designs, Phlac-Arphocc Automata Industries",,14.9,1180.0,,,,,1.0,100.0,Starfighter,,The Clone Wars
14,15,Naboo N-1 Starfighter,N-1,Theed Palace Space Vessel Engineering Corps,,11.0,1100.0,1.0,0.0,65.0,3 days,1.0,100.0,Starfighter,Anakin Skywalker,"The Phantom Menace, Attack of the Clones"
44,45,Sith Infiltrator,Scimitar,Republic Sienar Systems,,26.5,1180.0,1.0,6.0,150000.0,1 month,1.5,80.0,Starfighter,Darth Maul,The Phantom Menace
17,18,V-wing,Alpha-3 Nimbus-class V-wing starfighter,Kuat Systems Engineering,,7.9,1050.0,1.0,0.0,60.0,2 days,1.0,90.0,Starfighter,,Revenge of the Sith
43,44,Naboo N-1 Starfighter,N-1,Theed Palace Space Vessel Engineering Corps,,11.0,1100.0,1.0,0.0,65.0,3 days,1.0,100.0,Starfighter,Anakin Skywalker,"The Phantom Menace, Attack of the Clones"
40,41,TIE Advanced x1,TIE Advanced x1,Sienar Fleet Systems,,9.2,1200.0,1.0,0.0,75.0,2 days,1.0,105.0,Starfighter,Darth Vader,A New Hope
27,28,Geonosian Starfighter,Nantex-class territorial defense starfighter,Huppla Pasa Tisc Shipwrights Collective,,9.8,1200.0,1.0,0.0,30.0,2 days,1.0,100.0,Starfighter,,Attack of the Clones
16,17,Sith Infiltrator,Scimitar,Republic Sienar Systems,,26.5,1180.0,1.0,6.0,150000.0,1 month,1.5,80.0,Starfighter,Darth Maul,The Phantom Menace
29,30,Scimitar,Sith Infiltrator,Republic Sienar Systems,,26.5,1180.0,1.0,6.0,150000.0,1 month,1.5,80.0,Starfighter,Darth Maul,The Phantom Menace
39,40,U-wing,UT-60D,Incom Corporation,,24.2,950.0,4.0,8.0,40000.0,1 month,1.0,80.0,Transport,Cassian Andor,Rogue One
10,11,Naboo Royal Starship,J-type 327 Nubian,Theed Palace Space Vessel Engineering Corps,,76.0,920.0,8.0,20.0,2000000.0,1 month,1.8,75.0,Yacht,Queen Amidala,The Phantom Menace
42,43,Naboo Royal Starship,J-type 327 Nubian,Theed Palace Space Vessel Engineering Corps,,76.0,920.0,8.0,20.0,2000000.0,1 month,1.8,75.0,Yacht,Queen Amidala,The Phantom Menace
41,42,J-type 327 Nubian,J-type 327,Theed Palace Space Vessel Engineering Corps,,76.0,920.0,8.0,20.0,2000000.0,1 month,1.8,75.0,Yacht,Queen Amidala,The Phantom Menace
38,39,Naboo Yacht,J-type star skiff,Theed Palace Space Vessel Engineering Corps,,29.2,920.0,8.0,30.0,300000.0,1 month,1.8,75.0,Yacht,Padmé Amidala,Revenge of the Sith
31,32,Naboo Royal Cruiser,J-type diplomatic barge,Theed Palace Space Vessel Engineering Corps,,115.0,920.0,8.0,50.0,500000.0,2 months,1.8,75.0,Yacht,Queen Amidala,Attack of the Clones
